ССЫЛКА НА ЗАПИСЬ;ССЫЛКА НА ЗАПИСЬ С УЧЁТОМ ВЛАДЕЛЬЦА;ВЛАДЕЛЕЦ СТЕНЫ;АВТОР ЗАПИСИ;ДАТА И ВРЕМЯ;ТЕКСТ ПОСТА;ЛАЙКОВ;РЕПОСТОВ;КОММЕНТАРИЕВ;ПРОСМОТРОВ;ССЫЛКА НА КОММЕНТАРИЙ;НАЗВАНИЕ АВТОРА;ПОДПИСЧИКОВ
https://vk.com/wall-126238531_453487;https://vk.com/club126238531?w=wall-126238531_453487;https://vk.com/club126238531;https://vk.com/club126238531;2024-06-05 00:11;Анонимно.  Девочки, чем мазать десны при прорезывании Зубов ?хочу сразу купить чтобы было  Что посоветуете ?  Ребенку 3,5 месяца на верхней десне белые точки  Последние дни ведет себя не так как обычно;11;5;37;3234;;БЕРЕМЕННОСТЬ;179738
https://vk.com/wall-224776874_1474;https://vk.com/club224776874?w=wall-224776874_1474;https://vk.com/club224776874;https://vk.com/club224776874;2024-06-05 11:33;Находки на WB Держатели прорезыватели;7;2;1;2364;;WB ДЕТЯМ  | Детские находки на Wildberries, Ozon;4356
https://vk.com/wall-56247537_264380;https://vk.com/club56247537?w=wall-56247537_264380;https://vk.com/club56247537;https://vk.com/club56247537;2024-06-05 11:03;"Аптечка для малышей  1. ""Цефикон Д"" или любые свечи, содержащие парацетамол, - от температуры и боли.  2. Детский ""Нурофен"".  3. Свечи ""Виферон"" - повышают иммунитет, назначаются при простудах, инфекциях.  4. Свечи ""Вибуркол"" - гомеопатическое средство от высокой температуры, назначаются, когда режутся зубки.  5. Фурацилин - антибактериальные таблетки для приготовления полосканий, промываний.  6. Сухая детская микстура от кашля.  7. ""Физиомер"" или ""Аквамарис"", или ""Аквалор"" - растворы морской воды для промывания носика.  8. Аспиратор.  9. Називин для младенцев - сосудосуживающее средство от насморка.  Для кожи  10. Перекись водорода (обрабатывать пупочек, царапины и т.д.).  11. Зеленка (для обработки пупочка в жидком виде, для царапин и т.д. - карандаш ""Леккер"").  12. Хлорофиллипт (смазывать прыщики, воспаления, добавлять в ванночку при купании).  13. Марганцовка - купать ребенка в первые дни после роддома.  14. Мазь ""Бепантен"" - смазывать трещины, раздражения, сухую кожу.  15. Мазь ""Дропален"" - в случае раздражения, потницы, опрелостей.  16. Цинковая паста - замечательно борется с потничкой.  17. Настойка календулы/мазь календулы - смазывать царапины, раздражения.  18. ""Фенистил"" гель - от аллергических кожных проявлений, укусов насекомых.  19. Мазь ""Спасатель"" - ушибы, ожоги, царапины, укусы и т.д.  20. Мазь ""Арника"" - ушибы, гематомы, синяки.  21. Салфетки спиртовые.  22. Салфетки кровоостанавливающие.  Для животика  23. ""Бейби Калм"" - капли от колик-газиков (на травках).  24. ""Саб Симплекс"" - капли от колик-газиков (действующее вещество - смектин).  25. Чай ""Плантекс"" (внимание: мало кто читает инструкции, но этот чай малышам с лактозной недостаточностью давать нельзя!)  26. Клизмочки с мягким наконечником №1 и №2 (выпускать газы, использовать вместо аспиратора и непосредственно для клизм).  27. Глицериновые свечки - использовать при запоре (для малышей - 1/7 часть, хорошо режется ниткой).  28. ""Микролакс"" - микроклизмочки, очень удобны в использовании, также применяются при запоре (для малышей вводится половинка тюбика).  29. ""Дюфалак"" - от запоров же, можно принимать с рождения.  30. ""Регидрон"" - восстанавливает потребность организма в жидкости при поносе и рвоте.  31. ""Смекта"" - при поносах, расстройстве желудка.  32. Газоотводная трубочка - для ""пропукивания"" (достать трудно).  Для глаз  33. Мазь тетрациклиновая глазная.  34. Капли левомицетиновые глазные (эти две опции как раз из категории ""копеечных"" лекарств, которых может не оказаться в ближайших аптеках).  Травки  35. Ромашка - противовоспалительное средство, снимает спазмы, применяется внутрь и наружно (ванночки, умывания).  36. Мята - снимает тошноту.  37. Календула - наружное противовоспалительное средство.  38. Череда - антиаллергическая травка, для внутреннего применения и ванн.  39. Пустырник - успокаивающее средство, можно добавлять в ванночку.  40. Лавровый лист - так же, как и череда, борется с аллергическими проявлениями.  Общее  41. ""Фенистил"" капли - противоаллергическое (если не понадобятся в текущем режиме, то потребуется при прививках).  42. ""Калгель"" - гель с лидокаином, уменьшает боль от прорезывания зубов.  43. Градусник в комнату, градусник в ванночку, градусник для измерения температуры тела. Сейчас продаются очень удобные инфракрасные термометры, измеряющие очень точно температуру и тела, и воздуха в комнате.  44. Штук 5 пипеток с тупым концом (5 - потому что они имеют обыкновение куда-то исчезать).  45. Детские пластыри.  46. Мерная ложка или стаканчик для дозировки лекарств.  47. Серебряная ложечка (поить водичкой лучше именно из такой, серебро действительно благотворно влияет на то, чего оно касается).  48. Детский мочеприемник (очень удобно собирать мочу для анализов: маленький пластиковый пакетик просто приклеивается безопасно к коже малыша под памперсом).";11;16;1;1122;;Я люблю и хочу быть с тобой одной семьёй;303547
https://vk.com/wall-126992551_228231;https://vk.com/club126992551?w=wall-126992551_228231;https://vk.com/club126992551;https://vk.com/club126992551;2024-06-05 10:19;Анонимно Здравствуйте. Хотела бы послушать опыт других и может какого нибудь совета. Дочке на днях будет 7 месяцев. Лезут зубы, нижнии боковые резцы. Днём у нас около 4 дневных снов по 30-40 минут, невролог сказал, что это нормально. Но суть в том, что до зубов дочка сама засыпала и на дневные и на ночные сны. А сейчас днём нужно минут по 30-40 укладывать, на ночные так вообще по 2 часа. Вопрос состоит вот в чём: как помочь ребёночку? Спать хочет, но когда пытаешься уложить, начинается истерика, пинается, толкается. Уже и рядом ложусь, даю ей самой уснуть, не может. Ночью 4 дня тоже почти не спит. Гелем дёсна мажем, прорезыватели в течении дня грызёт, невролог сказала эдас попробовать, на ночь его даю, если совсем плохо даю немного нурофена. Как долго лезут зубки? Так на каждый будет или главное первые пережить?;0;0;7;1084;;Подслушано в роддомах Челябинска ♡ Истории родов;22043
https://vk.com/wall-202611080_158918;https://vk.com/club202611080?w=wall-202611080_158918;https://vk.com/club202611080;https://vk.com/club202611080;2024-06-05 15:05;Прорезывание зубов у детей – это естественный процесс, который может вызывать дискомфорт как у ребенка, так и у родителей. 🦷 Признаки прорезывания зубов могут включать: 1. Слюнотечение: усиленное слюнотечение – один из наиболее очевидных признаков. 😝 2. Раздражительность и плаксивость: ребенок может стать более капризным и плаксивым. 😣 3. Опухшие и чувствительные десны: десны могут покраснеть, опухнуть и стать болезненными. 🦷 4. Нарушение сна: ребенок может плохо спать или часто просыпаться ночью. 😴 5. Желание что-то грызть: малыш может пытаться грызть игрушки, пальцы или другие предметы, чтобы облегчить дискомфорт.🧸 6. Отказ от еды: ребенок может отказываться от еды из-за боли в деснах.🍼 7. Небольшое повышение температуры: легкий жар может сопровождать прорезывание зубов, но высокая температура обычно не связана с этим процессом. 🌡️ ❗️Как помочь ребенку при прорезывании зубов: 1. Массаж десен: легкий массаж десен напальчником или чистым пальцем может помочь уменьшить боль. ✋🏻 2. Мокрые салфетки: можно дать ребенку чистую, мокрую ткань для жевания.🌊 Холодная ткань поможет успокоить воспаленные десны. 3. Водные прорезыватели: прорезыватели, которые можно охладить в холодильнике, помогают снизить воспаление и облегчить боль. Если нет прорезывателя, но вы уже ввели прикорм, можно использовать ниблер с охлаждёнными кусочками яблок. Важно не использовать замороженные предметы! ❄ 4. Мягкие прорезыватели: прорезыватели и игрушки, предназначенные для жевания, могут отвлечь ребенка и уменьшить дискомфорт. 🧸 5. Обезболивающие гели: существуют специальные гели для прорезывания зубов, которые наносятся на десны. Важно следовать инструкции по применению и рекомендациям педиатра. 💊 6. Обезболивающие препараты: при сильной боли можно использовать детские обезболивающие средства. Перед применением обязательно проконсультируйтесь с врачом. 💊 Важно помнить, что прорезывание зубов – это временный процесс и симптомы пройдут. Однако, если у вашего ребенка наблюдаются высокая температура, длительный отказ от пищи или другие тревожные симптомы, следует обратиться к врачу, чтобы исключить другие возможные причины плохого самочувствия. 👩‍⚕️ #советы@mamatama;42;6;54;710;;МАМА ТАМА помогает мамам!;8474
https://vk.com/wall-223821796_899;https://vk.com/club223821796?w=wall-223821796_899;https://vk.com/club223821796;https://vk.com/club223821796;2024-06-05 13:21;Лотерея🎉 мини-набор Облачко для маленьких принцесс всего за 30 рублей🎁  В набор входит: ✅ браслет Облачко  ✅ прорезыватель зубная щётка ✅ ниблер для первого прикорма  В лотерее участвует 25 билетиков 🎫  Свободные номерки: 1,2,3,4,8,9 11,12,13,14,16,17,18,19 20,21,22  Необходимо: ✅быть подписчиком сообщества  ✅Сделать репост и поставить лайк данной записи  ✅ в комментариях укажи номера билетиков (количество не ограничено)  ‼️Доставка приза осуществляется за счет победителя, отправка почтой России 📦  🔥 ПРИЯТНЫЙ БОНУС 💥 Победителю сделаю именной браслетик по желанию!  ✅ Розыгрыш состоится как только все номерки будут выкуплены;5;3;3;272;;Грызунки, именные держатели, посуда, игрушки;380
https://vk.com/wall-88405693_3561;https://vk.com/club88405693?w=wall-88405693_3561;https://vk.com/club88405693;https://vk.com/club88405693;2024-06-05 13:23;Путешествие с ребенком не в тягость, а в радость!   Отправляясь в путешествие с ребенком, помните: правильно собранная аптечка – залог вашего спокойствия.   О том, что всегда должно быть в детской аптечке в путешествии, рассказала врач-педиатр клиники «Семейная» Королева Елизавета Павловна.   1. Путешествуя по России, не забудьте взять с собой медицинский полис. Он дает право на получение базовых медуслуг на бесплатной основе.   2. За рубежом ваша защита от непредвиденных расходов – туристическая страховка.   3. Изучите эпидемиологическую ситуацию в стране, в которую отправляетесь в путешествие. Перед посещением некоторых стран может понадобиться вакцинация.   А теперь перейдем к составляющим детской аптечки:   – Препараты для снижения температуры и обезболивания на основе ибупрофена и парацетамола («Нурофен», «Ибуклин»), для малышей – свечи («Цефекон»). – Антигистаминные средства: «Цетиризин», «Лоратадин», «Дезлоратадин», «Фенистил гель» для наружного применения. – Препараты для носа и горла: «Аквалор», «Аквамарис», «Линаква», «Ангидак», «Оралсепт». – Сосудосуживающие: «Оксиметазолин», «Ксилометазолин». – При желудочных расстройствах: сорбенты («Смекта», «Энтеросгель»), средства от обезвоживания («Регидрон»), при запорах – микроклизмы, слабительные свечи. – Противорвотные: «Мотилиум», «Церукал» – с 6 лет. – От укачивания: «Драмина», «Авиа-море». – Защита от солнца: кремы SPF50+, при ожогах – «Пантенол» 5%.   Что может понадобиться еще:   – Термометр в защитном футляре, – Антисептики: перекись водорода, хлоргексидин, – Репелленты – защита от укусов насекомых, – Устройство для удаления клеща и контейнер для хранения при походах в лесополосе.   Дополнительно можно взять перевязочный материал (бинт, вата, марлевые салфетки), пластырь (бактерицидный, лейкопластырь).   Конечно, список лекарств в поездку может варьироваться. Например, если вы путешествуете с ребенком младше года, положите в аптечку гель для облегчения прорезывания зубов, назальный аспиратор, газоотводную трубку.   Обращаем ваше внимание, что у препаратов имеются противопоказания. Перед применением необходимо получение консультации специалиста.   А теперь – смело в путь! Желаем вам приятного отдыха и отличного настроения!;4;1;1;256;;"Клиника ""Семейная"" в Туле";5665
https://vk.com/wall-196332922_2291;https://vk.com/club196332922?w=wall-196332922_2291;https://vk.com/club196332922;https://vk.com/club196332922;2024-06-05 13:07;"Акульи зубы у детей 🦈  Двойные или «акульи» зубы у детей появляются, когда молочный зуб и зачаток коренного находятся в разных точках ротовой полости. При прорезывании нового комплекта молочный зуб не выпадает и новый зуб вырастает над ним. В результате у ребёнка формируются два зубных ряда.  Такая аномалия роста зубов приводит к серьёзным последствиям для здоровья ребёнка, мешает развитию нормального зубного ряда и ведёт к нарушению прикуса. Вдобавок выглядят такие зубы неэстетично и ребёнок может стесняться своих зубов 🙁  🦷 Почему появляются ""вторые"" зубы?  Частая причина – редкое употребление твердой пищи. Зубы не получают необходимую жевательную нагрузку, из-за чего корни молочных зубов рассасываются медленно.  ✅ Профилактика ""акульих зубов"". Регулярно давайте ребёнку свежие овощи и фрукты, которые можно грызть,  и другую пищу, требующую тщательного пережёвывания.    «Акулья улыбка» нуждается в своевременной коррекции.  «Акульи зубы» нарушают работу ЖКТ: частички еды попадают под десну, ребёнок проглатывает недостаточно пережёванную пищу. Результат этого – боли в животе и метеоризм. Сдвоенный зубной ряд также приводит к нарушению у ребёнка дикции и артикуляции.   Специалисты ""Детской улыбки"" успешно устраняют проблему ""Акульих зубов"" и делают улыбку красивой и здоровой.  Ваша ""Детская улыбка"" 🧡  📍 Мурманск, Володарского 7  ☎ 42-48-48";0;2;1;242;;"Стоматология ""Детская улыбка"". Мурманск";3258
https://vk.com/wall823651635_72;https://vk.com/id823651635?w=wall823651635_72;https://vk.com/id823651635;https://vk.com/id823651635;2024-06-05 09:57;Принимаю заказы 🤗  💯 Преимущества грызунков из пищевого силикона и дерева. Силиконовые грызунки упругие, но при этом мягкие, поэтому подходят даже совсем маленьким деткам (от 2-3 месяцев). Формирование зубов начинается задолго до прорезывания, поэтому жевание мягкого грызунка чрезвычайно полезно для младенца. Кроме того, силикон можно охлаждать ❄️, чтобы усиливать обезболивающий эффект и снимать отечность десен.Твердый деревянный грызунок оптимален для детей постарше. Он создает правильную нагрузку на десны в тот период, когда идет активное прорезывание зубов.;8;0;1;241;;Грызунок Держатель;1840
https://vk.com/wall143682899_1122;https://vk.com/id143682899?w=wall143682899_1122;https://vk.com/id143682899;https://vk.com/id143682899;2024-06-05 10:14;Провал конечно....   Но так бывает 🤷‍♀️🤷‍♀️  Мы не смогли донести ценность нашего изделия, другие задачи были на тот момент, когда запускали это новое изделие , и упустили этот момент😔😔😔, а алгоритмы маркетплейсов таковы, что если мало продаж, то эта карточка товара тянет вниз весь наш ассортимент 😭  ПОЭТОМУ!!! У нас распродажа наборов для новорожденных!   Будем ли мы снова отшивать их и заводить новую карточку с этим товаром, мы пока не знаем 🤔  Наборы классные, состоят из шуршащего велюрового, с разноцветной репсовой лентой платочка и грызунок деревянный с шуршащими ушками!   Совсем малышам 👶 они очень нравятся , шуршалка велюровая приятная на ощупь и очень увлекает, успокаивает , грызунок деревянный с шуршащими ушками мега полезный, ушки можно снимать, стирать) Цена оочень привлекательная сейчас)   Ссылка 👇👇👇  https://wildberries.ru/catalog/176260127/detail.aspx;21;0;0;160;;Мария Скок;2237
https://vk.com/wall582968209_58135;https://vk.com/id582968209?w=wall582968209_58135;https://vk.com/id582968209;https://vk.com/id582968209;2024-06-05 10:03;Цена штучно: 199руб Цена оптом: 180руб (упак. 10шт=1800руб) Игрушка, пластик без выбора цвета Развивающая игрушка телефон Потрясающая игрушка для каждого ребенка. Очень милый и симпатичный дизайн, световые и звуковые эффекты, яркие цвета. Проигрывает мелодии, колыбельные, песенки  Ушки с рожками мягкие, можно использовать в качестве прорезывателей. Озвучка русская  Размер 14/8 см;2;2;1;133;;Сухроб Сайидов;13311
https://vk.com/wall-224733396_65;https://vk.com/club224733396?w=wall-224733396_65;https://vk.com/club224733396;https://vk.com/club224733396;2024-06-05 00:55;ПОСТ-ЗНАКОМСТВО👋   ✴Всем привет! Меня зовут Светлана, я мама четырёх замечательных деток и мне захотелось найти себе занятие в декрете!   ✴Я решила, что хочу и буду помогать деткам во время сложного периода - прорезывании зубов🦷👶🏻. А опыта у меня в этом деле предостаточно!)  ✴Мне пришло в голову создать свой личный бренд HAPPY TOSHKA❤   ✴Я училась у опытных мастеров, создала свой логотип, визитки, закупили фурнитуру, подарочную упаковку. Я очень горю этим делом! И мне приятно что именные держатели и грызунки это не только красивый аксессуар для малыша, но и очень полезный!   ✴В общем я буду очень рада Вам, вашим заказам, комментариям и пожеланиям!   С любовью и заботой о ваших малышах, магазин детских аксессуаров HAPPY TOSHKA 🌹;15;1;0;117;;ГРЫЗУНКИ КСТОВО | ИМЕННЫЕ ДЕРЖАТЕЛИ;21
https://vk.com/wall-159173765_6728;https://vk.com/club159173765?w=wall-159173765_6728;https://vk.com/club159173765;https://vk.com/club159173765;2024-06-05 14:15;"👍👍👍Сказка Ниблер силикон . Ниблер для прикорма ""Сказка"" создан для безопасного питания малыша и обучения самостоятельному разжевыванию пищи. Ниблер необходим для постепенного введения в рацион ребенка твердого прикорма. Ниблер оснащен гипоаллергенной и нетоксичной силиконовой насадкой , удобной ручкой и крышкой. Силиконовая насадка многоразовая. Соска для прикорма идеально подходит для кормления фруктами, овощами, ягодами, мясом и другой едой, соответствующей возрасту ребенка. Легко моется. Удобная ручка позволяет малышу надёжно удерживать ниблер. Во время прорезывания зубов нимблер послужит как грызунок и прорезыватель для зубов и поможет снять зуд.🍎🍏🍎";3;0;1;103;;"Детский магазин ""Семка""";2571
https://vk.com/wall582968209_58110;https://vk.com/id582968209?w=wall582968209_58110;https://vk.com/id582968209;https://vk.com/id582968209;2024-06-05 05:46;Цена штучно: 200руб Цена оптом: 150руб (упак. 12шт=1800руб) Игрушка, пластик без выбора цвета Проигрывает мелодии, колыбельные, песенки  Ушки с рожками мягкие, можно использовать в качестве прорезывателей. Озвучка русская  Размер 14/8 см;0;0;1;100;;Сухроб Сайидов;13311
https://vk.com/wall263821_9827;https://vk.com/id263821?w=wall263821_9827;https://vk.com/id263821;https://vk.com/id263821;2024-06-05 14:26;Продолжаю тему ромашек! 🌼    Вы знаете, что меня поразило? Какое же широкое использование этого эфирного масла в уходе за детьми! Я бы даже назвала его самым детским маслом. Но не забываем и про взрослых – забота о себе важна для всех.    Сегодня я поделюсь рецептами использования эфирного масла римской ромашки.    Как применять масло для детей?    🐬 ВАННЫ  Хотите успокоить вашего малыша и обеспечить ему спокойный сон? Попробуйте этот рецепт:  - Растворите 1 каплю римской ромашки в 30 мл сливок.  - Добавьте эту смесь в ванночку.  - Такая ванна успокоит малыша и станет отличной профилактикой сыпи от подгузников.    🐼 ПРОРЕЗЫВАНИЕ ЗУБОВ  Прорезывание зубов – это трудный период как для ребенка, так и для родителей. Масло римской ромашки поможет облегчить этот процесс:  - Смешайте 1 каплю римской ромашки с 10 мл базового масла.  - Мягко массируйте щеку с той стороны лица, где у ребенка режется зуб.    🐥 КОЛИКИ  Колики у малышей – это всегда причина для беспокойства. Попробуйте нежный массаж с маслом римской ромашки:  - Смешайте 1 каплю римской ромашки с 10 мл базового масла.  - Нанесите масло на руку и поглаживайте животик мягкими круговыми движениями по часовой стрелке в течение примерно пяти минут.  - Ребенок обязательно почувствует облегчение. 😊    Не забываем и о взрослых!  Для нас римская ромашка – универсальное успокаивающее средство. Она помогает при:  - Высоком давлении.  - ПМС и болях при месячных.  - Аллергии, высыпаниях и крапивнице.    Кроме того, римская ромашка идеально ухаживает за кожей. Сухая, раздраженная или увядающая кожа? Добавьте каплю ромашки в свой крем, и ваша кожа скажет вам «спасибо». 🌿    Поторопитесь, чтобы заказать это удивительное масло и ощутить всю силу природы у себя дома со скидкой 10%. Наслаждайтесь волшебными свойствами ромашки и дарите здоровье своим близким! 🌸;5;0;0;97;;Светлана Ремнева;2523
https://vk.com/wall-118533171_13180;https://vk.com/club118533171?w=wall-118533171_13180;https://vk.com/club118533171;https://vk.com/club118533171;2024-06-05 16:50;"🔥🔥🔥 ПОСТУПЛЕНИЕ 🔥🔥🔥       📌📌📌ЦЕНА  100 рублей. Прорезыватель ""Бантик"", 13*2*15 см";2;0;0;95;;ДЕТСКИЕ ТОВАРЫ ОПТ И РОЗНИЦА;65316
https://vk.com/wall45798120_2860;https://vk.com/id45798120?w=wall45798120_2860;https://vk.com/id45798120;https://vk.com/id45798120;2024-06-05 10:00;⭐️Профилактика нарушений прикуса с первого года жизни ⭐️  Жевание- это основа гармоничного развития челюстей, правильного прикуса и красивого лица🙌🏻  Навык жевания необходимо развивать  и помочь может в этом   НИБЛЕР - аксессуар для прикорма малышей первого года жизни 👶  Состоит из силиконовой насадки с отверстиями и ручки.    Внутрь  можно класть кусочки фруктов, овощей, хлеб и давать ребенку без опасения🍎  Для детей на искусственном вскармливании прикорм можно начинать с 4 мес.   На грудном вскармливании с 6 мес.  Данный аксессуар тренирует жевательную функцию у малыша с самого раннего возраста, что способствует росту челюстей и снижает риск нарушений прикуса, а в период прорезывания зубов облегчает зуд☺️  Более подробная статья   👇👇👇👇👇👇👇👇👇👇👇👇👇  https://www.akusherstvo.ru/guide/chto-takoe-nibler-i-kak-im-polzovatsya/  Лучшее лечение -это своевременная профилактика ❗️  #ортодонтчелябинск #исправлениеприкусачелябинск #брекетычелябинск #элайнерыдляисправленияприкуса  #элайнерычелябинск  #НаширбановаКристинаАндреевна  #ортобьютиважно #лечениедетейЧелябинск #детскийортодонтЧелябинск;10;1;0;84;;Кристина Наширбанова;474
https://vk.com/wall826459255_134;https://vk.com/id826459255?w=wall826459255_134;https://vk.com/id826459255;https://vk.com/id826459255;2024-06-05 14:22;Набор 🐰 Зайка с морковкой ❤️❤️❤️  Цена 1300₽ 🐰вязаная погремушка(+в морковке бусины) 🐰грызунок с прорезывателем (можжевел. и силикон) Бесплатная упаковка (коробочка с лентой, пакет) 🎁 доставка по г.Тольятти бесплатно❤️❤️❤️;10;0;0;73;;Simon Baby;3227
https://vk.com/wall-172375384_1063;https://vk.com/club172375384?w=wall-172375384_1063;https://vk.com/club172375384;https://vk.com/club172375384;2024-06-05 15:15;Новое поступление 0-6 мес и 6-12 мес.  Сделаны из латекса — природного и очень мягкого материала, безопасны, не вызывают аллергических реакций, успокаивают малыша и ослабляют неприятные ощущения при прорезывании зубов, а дырочки в нагубнике отводят слюни и обеспечивают вентиляцию.  Пустышки, выполненные в форме “вишня”, максимально приближены к женской анатомии, что позволяет малышу быстро их освоить  нагубники дополнены вентиляционными отверстиями  в комплектации удобный герметичный футляр  материал не содержит BPA (бисфенол А)  спокойные расцветки не будут перегружать нежную психику малыша.;0;0;0;69;;Baby&Mama г.Железногорск;819
https://vk.com/wall-118533171_13174;https://vk.com/club118533171?w=wall-118533171_13174;https://vk.com/club118533171;https://vk.com/club118533171;2024-06-05 16:12;🔥🔥🔥 ПОСТУПЛЕНИЕ 🔥🔥🔥        📌📌📌ЦЕНА 300 рублей. Погремушки с прорезывателями (7 штук в упаковке), в пакете ;1;0;0;63;;ДЕТСКИЕ ТОВАРЫ ОПТ И РОЗНИЦА;65316
https://vk.com/wall-118533171_13171;https://vk.com/club118533171?w=wall-118533171_13171;https://vk.com/club118533171;https://vk.com/club118533171;2024-06-05 16:04;🔥🔥🔥 ПОСТУПЛЕНИЕ 🔥🔥🔥        📌📌📌ЦЕНА  250 рублей. Погремушка с элементами прорезывателяL;1;1;0;58;;ДЕТСКИЕ ТОВАРЫ ОПТ И РОЗНИЦА;65316
